Timestamp,Score,Name,"Rate your Communication Skills 
1-5","Rate your Public speaking Skills 
1-5","Rate your  Project Management Skills 
1-5","Rate your Teamwork Skills 
1-5","Rate your Research Skills 
1-5",How familiar are you with clean tech careers?,Describe how confident you feel introducing yourself to a professional.,How confident are you participating in a job interview?,How confident are you taking initiative or leading a group?," How familiar are you with professional workplace expectations? 

"
7/6/2026 15:26:54,0 / 2,Christian Jimenez,3,5,1,2,1,very confident,slightly confident,slightly confident,not at all confident,very confident
7/6/2026 15:27:09,0 / 2,Reese Tang,5,1,2,3,5,very confident,very confident,very confident,very confident,slightly confident
7/6/2026 15:27:09,1 / 2,Brandon Saelee,5,1,1,4,4,slightly confident,slightly confident,slightly confident,not at all confident,very confident
7/6/2026 15:27:11,1 / 2,Ray Nelson,2,2,2,4,4,very confident,slightly confident,slightly confident,slightly confident,slightly confident
7/6/2026 15:27:13,1 / 2,Ryan Yu,3,5,4,5,4,not at all confident,not at all confident,slightly confident,not at all confident,very confident
7/6/2026 15:27:17,1 / 2,Jumana Abdullah,1,5,5,4,3,not at all confident,slightly confident,slightly confident,not at all confident,slightly confident
7/6/2026 15:27:21,0 / 2,Stephanie Hernandez,5,5,1,4,4,slightly confident,very confident,slightly confident,very confident,not at all confident
7/6/2026 15:27:23,1 / 2,Thy Huynh,2,2,3,4,2,not at all confident,slightly confident,slightly confident,very confident,not at all confident
7/6/2026 15:27:31,1 / 2,Anshika,3,4,3,4,1,not at all confident,slightly confident,very confident,slightly confident,not at all confident
7/6/2026 15:27:33,1 / 2,Sharef Beckum-Swearington,4,2,2,3,4,very confident,not at all confident,not at all confident,slightly confident,very confident
7/6/2026 15:27:35,1 / 2,Ali Farooq,2,1,4,2,1,not at all confident,not at all confident,very confident,not at all confident,not at all confident
7/6/2026 15:27:43,0 / 2,Francis,5,4,3,1,5,very confident,not at all confident,very confident,very confident,not at all confident
7/6/2026 15:27:45,1 / 2,Siddharth Kate,2,3,3,4,1,not at all confident,very confident,not at all confident,slightly confident,very confident
7/6/2026 15:27:48,1 / 2,Arie Riphagen,3,3,4,2,5,slightly confident,very confident,very confident,very confident,not at all confident
7/6/2026 15:27:49,0 / 2,Marwa Akhondzada,5,3,1,5,1,slightly confident,slightly confident,not at all confident,very confident,slightly confident
7/6/2026 15:27:58,0 / 2,Kardin Duong,2,2,5,4,5,very confident,very confident,very confident,slightly confident,not at all confident
7/6/2026 15:28:03,0 / 2,'Xavion L''Ecluse',2,2,3,2,1,slightly confident,very confident,not at all confident,not at all confident,slightly confident
7/6/2026 15:28:07,0 / 2,Hayden Zamboanga,2,3,4,1,3,very confident,very confident,not at all confident,not at all confident,very confident
7/6/2026 15:28:08,1 / 2,Alitza Ramirez,2,3,4,5,5,very confident,not at all confident,very confident,slightly confident,not at all confident
7/6/2026 15:28:09,1 / 2,Burhan Babar,1,3,4,2,2,slightly confident,slightly confident,slightly confident,very confident,very confident
7/6/2026 15:28:11,1 / 2,Nolan Galimba,5,5,1,4,5,slightly confident,very confident,slightly confident,very confident,not at all confident
7/6/2026 15:28:12,1 / 2,Hijab Nisar,4,3,2,1,3,very confident,not at all confident,very confident,slightly confident,very confident
7/6/2026 15:28:26,1 / 2,Phuc Lu,3,4,4,4,4,not at all confident,very confident,slightly confident,not at all confident,not at all confident
7/6/2026 15:28:26,1 / 2,Ryan Robb,1,3,1,5,2,slightly confident,not at all confident,not at all confident,slightly confident,not at all confident
7/6/2026 15:28:42,1 / 2,Sudeep Suresh ,1,3,3,3,3,slightly confident,slightly confident,not at all confident,not at all confident,very confident
7/6/2026 15:28:44,0 / 2,Erik Bruce,1,5,5,3,5,very confident,not at all confident,very confident,slightly confident,slightly confident
7/6/2026 15:29:01,1 / 2,Dahlia Green,3,2,4,4,4,slightly confident,slightly confident,slightly confident,very confident,not at all confident
7/6/2026 15:29:25,0 / 2,Tori,4,2,3,1,5,slightly confident,very confident,slightly confident,slightly confident,slightly confident
